Jobname	URL	Location	Date	Company	Description
Senior Solutions Architect - Work from Home	https://pe.linkedin.com/jobs/view/senior-solutions-architect-work-from-home-at-oowlish-3661083706?refId=%2BEbYmN%2Bqmf13CuPN1vqrqw%3D%3D&trackingId=vy2Ee41cjZMX%2BipCxf%2FVrA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card	Lima, Peru	6 days ago	Oowlish	"Be part of our team!
🚀💼 Are you ready to launch your career into the tech stratosphere with one of Latam's fastest-growing software development companies? 💪💻 At Oowlish, we're on the hunt for tech maestros to join our dynamic, cosmopolitan squad.
As an 🦉Oowlish🦉 team member, you won’t just be part of a team, you’ll join an innovative, supportive family, partnering with top-tier clients from the USA and Europe 🌍 to kickstart their digital journey. And being part of a 🌟Great Place to Work🌟, it’s all about learning, growing, and making a global impact - together!
Enjoy the flexibility of working in your PJs 🧦, with your furry friend 🐶 on your lap, relishing your freedom and maintaining a perfect work-family life balance ⚖️. Because we know that’s when you’re at your best. If you're a tech enthusiast 🕹️, fluent in English 🗣️, and thrilled about working remotely while making an international splash, then you're on the right page!
Our client seeks an experienced Senior Solution Architect (SA) in their Global Technology Solutions (GTS) organization to focus on their API and integration infrastructure to allow them to expose and manage data assets for use internally and externally. As one of our senior technology leaders, the SA will see the “big picture” and create architectural approaches for solution design and implementation to guide the development teams.
Responsibilities
Lead the design of a comprehensive and cohesive API Platform and Developer Portal across our products and applications. Solve cross-cutting concerns like:
Access control and Authorization
Administration and Billing
Monitoring and reporting
Asynchronous event publication
Registration and self-service
Establish, maintain, evangelize, and communicate an ongoing strategic architectural vision for the client´s integrations.
Evaluate requirements for technical and functional gaps against existing platforms and establish a roadmap to deliver these capabilities in a sustainable way that promotes maximum re-use. The ability to elicit and identify requirements for the solution is a must.
Collaborate and influence peer technical partners and business leaders toward a published technical vision.
Ensure our technological solutions meet the highest standards of security, stability, performance, and scalability.
Key Contributor in the development of strategic planning ensuring linkage to the overall strategic business objectives of the corporation.
Identify problems and issues, collect and integrate information from a variety of sources to establish a course of action, and communicate the architectural issues and solutions clearly and concisely.
Collaborate with team members on tactical design to ensure deliverables are technically accurate and useful.
Analyze problems from a practical point of view and evaluate ideas and suggestions to help the teams make balanced, fact-based decisions.
Identify critical architectural design activities & tasks on projects, help with functional epic and enabling feature estimation and planning, ensure timely and accurate communication of status, and contribute beyond assigned tasks - adjusting priorities when appropriate.
Contribute to project success by providing ideas, and strategies, improving communication among team members, and executing decisions.
Lead in training, motivating, mentoring, and serving as a mentor to others on the team.
Must Haves
Strong written and verbal skills (English)
Strong technical background with at least 15 years of work experience in one or more engineering areas including but not limited to:
IT architecture, infrastructure, and cloud development
Engineering and software architecture design
Software development
DevOps or data engineering
Experience in building and implementing both a Data platform and an API suite
Knowledge of query standards like OData and GraphQL
Data Platform and/or ETL/ELT experience highly desirable
Proven ability to lead teams and work cross-functionally with technical and non-technical team members (+50 person working teams/trains is highly preferred)
Nice To Have
Experience with Kong API Gateway a strong plus
Benefits & Perks
Home office 🏠
Flexible Hours;🕜
Competitive compensation based on experience; 💵
Career plans to allow for extensive growth in the company;📈
International Projects;🌍
Oowlish English Program (Improving and Certifying)📚
Spanish Classes 📚
Oowlish fitness with Total Pass;🏋‍♀️
Oowlish Academy (Grants for Education);🎓
Build your Home Office (Grants for Computer & Equipment);💻
Connecting You (Internet allowance);📡
Anniversary bonus;💸
Wedding gift;👰‍♀️
Pet adoption incentive;🐕
New baby Owl bonus;👩‍🍼
Back to School bonus;✏️
Netflix Subscription;📽
Oowlish paradise – 4 days/year at a Resort with your family & pets;🏝
Vacation Bonus;🏖
Games and Competitions;🎮
Enjoy your national Holidays;🎊
Oowlet Store🛒
Come join us in breaking the mold and revolutionizing the tech landscape! 🌐 Remember, with Oowlish, you’re not just getting a job, you’re becoming part of a community 🌍 of innovative, talented, and inspiring individuals who respect each other and our furry friends 🐾.
Why wait to make your mark on the tech world?
Hit ‘Apply Now’ to embark on Oowlish's exciting journey, and let's turbocharge innovation together! 🚀🎉
You Can Also Apply Here
Website: https://www.oowlish.com/work-with-us/
LinkedIn: https://www.linkedin.com/company/oowlish/jobs/
Instagram: https://www.instagram.com/oowlishtechnology/
#amazon #job #home #linkedin #career #online #employment #remote #work #international #clients #in #united #states #USA #vacant #hiring #opportunities #hire #application #apply #virtual #wfh #tech #best #english #offer #vacancy #desarrollador #desarrolladora #front #end #programador #programadora #programmer #full #stack #software #engineer #desarrollo #system #developer #code #desenvolvedor #engenheiro #sql #sde #web #backend #empleo #trabajo #ofertas #emprego #vagas #analista #android #api #aplicacion #app #apple #arquitect #automation #aws #azure #blockchain #builder #certified #ciber #cnc #coding #computa #consultor #cyber #data #delphi #desenvolve #dev #devops #diseña #django #etl #flutter #frontend #fullstack #git #hunt #informatica #ingenier #io #iphone #java #Link #microsoft #mobile #movil #node #oracle #php #plc #product #project #proyecto #python #react #ruby #sap #scrum #sdlc #senior #shopify #sistema #soft #sql #tec #tech #lead #testing #top #unity #vscode #web #design #wordpress"
Analista Programador .Net Core/ Angular	https://pe.linkedin.com/jobs/view/analista-programador-net-core-angular-at-efitec-corporation-3677745573?refId=%2BEbYmN%2Bqmf13CuPN1vqrqw%3D%3D&trackingId=Y8vkQWybc22GB%2Fiiht57ng%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card	San Borja, Lima, Peru	2 weeks ago	Efitec-Corporation	"En Efitec nos encontramos en la búsqueda de profesionales con experiencia aplicada en .Net Core y Angular
Requisitos
Egresado técnico o universitario de la carrera de Ingeniería de Sistemas, Informática o a fines
Experiencia mínima de 3 años como Desarrollador y/o Analista Programador
Posibilidad de trabajo SEMIPRESENCIAL (3 días presencial)
Experiencia framework frontend con Angular
Experiencia framework backend con .Net Core
Conocimientos en SQL Server y Oracle
Manejo de IDE (Visual Studio, Visual Code)
Manejo de HTML5, CSS3 y javascript
Funciones
Investigar, analizar, desarrollar e implementar soluciones
Realizar el mantenimiento y actualizaciones de softwares y aplicaciones
Análisis e implementación de mejoras.
Proporcionar asistencia a los usuarios que utilizan los programas y aplicaciones desarrolladas.
Beneficios
Contratación por planilla MYPE
Puntualidad en pagos
Acceso a EPS
Horarios estables.
Trabajar junto con un equipo dispuesto a compartir conocimiento y desafíos.
Oportunidad de crecimiento laboral.
Integrar una empresa que se encuentra en proceso de expansión.
¡Postula y forma parte de nuestra familia corporativa!"
desarrollador/a web FullStack	https://pe.linkedin.com/jobs/view/desarrollador-a-web-fullstack-at-vision-games-corporation-s-a-c-3672397376?refId=%2BEbYmN%2Bqmf13CuPN1vqrqw%3D%3D&trackingId=g3Tky3SR6F%2BTuiMX8syCBw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card	Lima, Lima, Peru	2 weeks ago	Vision Games Corporation S.A.C	"Empresa dedicada al rubro de casino y tragamonedas se encuentra en la búsqueda de un Desarrollador Web Full Stack, proactivo, responsable, organizado, sociable, comunicativo, adaptable a los cambios, con actitud y aptitud
Requisitos
Lenguaje: HTML,JavaScript,CSS,C#,Net,Pphp
Framework:Angular o React
Sofware:MySQL,VSCode,MS vISUAL Studio, IIS
Otros:Amazon web Services,Google Cloud,GitHub,manejo de APIS,Windows Server"
Programador full stack	https://pe.linkedin.com/jobs/view/programador-full-stack-at-enotria-sa-3691637132?refId=%2BEbYmN%2Bqmf13CuPN1vqrqw%3D%3D&trackingId=8bZne8JNC5w5D0wX0wI%2FRQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card	Lima, Lima, Peru	1 hour ago	Enotria SA - RUC 20100117526	"En
Enotria
, nos dedicamos a gestionar de manera inteligente y segura la información física y
digita
l de nuestros clientes. Manejamos procesos seguros e innovadores aplicando
metodologías ágiles
en el desarrollo de los
proyectos
con los más importantes clientes de los sectores de Utility, Banca & Finanzas y Retail del Perú, a quienes apoyamos en su proceso de
Transformación Digital.
¡Vive nuestra Cultura Fibra E!
Buscamos talentos apasionados para:
Realizar el análisis de los requerimientos y cambios solicitados por los clientes internos y externos a nivel de desarrollo, así como también supervisar que el desarrollo de las aplicaciones que se desarrollen o modifiquen en TI cumplan con los estándares de programación y seguridad, además apoyar en la planificación de la atención de los requerimientos o incidentes.
Tendrás las siguientes responsabilidades:
Validar el cumplimiento de los estándares de desarrollo establecidos.
Establecer tiempos de cumplimiento del desarrollo de aplicaciones, y elaborar, administrar y cumplir el plan de trabajo aprobado.
Validar que el desarrollo cumpla con la Arquitectura establecida.
Realizar el análisis de los requerimientos y crear la documentación necesaria de acuerdo con el alcance definido.
Definir los casos de prueba, en trabajo conjunto con Soluciones de Negocio y Desarrollo a nivel técnico y/o integraciones.
Definir tecnologías a utilizar en mantenimiento TI y desarrollo TI
Absolver consultas técnicas acerca de temas o componentes Enotria y su arquitectura.
Revisar que se dé el cumplimiento de estándares de programación.
Entregar feedback al jefe de Desarrollo y Mantenimiento sobre las lecciones aprendidas.
Lo que necesitamos de ti / ¿Qué buscamos en tu perfil?
·
Estudios técnicos o universitarios concluidos de las carreras de Ingeniería de Sistemas, Informática, Desarrollo o carreras afines.
·
Experiencia mínima de 03 años como Desarrollador Full Stack, Analista Programador, Analista de Sistemas y/ puestos afines.
Experiencia mínima 01 año en ejecución de arquitectura de proyectos y soluciones TI.
·
Experiencia en desarrollo de aplicaciones TI (Indispensable).
·
Experiencia en ejecución de proyectos TI (Indispensable).
·
Manejo indispensable de programación en NodeJs, Angular, C# y .NET.
·
Manejo intermedio de SQL Server.
·
Conocimiento en AWS (Básico).
·
Experiencia liderando a personas. (Deseable).
·
Conocimiento de Interfaz de programación de aplicaciones (API).
·
Disponibilidad para trabajar en modalidad presencial en Ate - Lima (frente al Mall Aventura de Santa Anita).
¿Y las habilidades blandas?
·
Contamos con tu capacidad para comunicarte a todo nivel. Del mismo modo, tu capacidad de análisis y planificación para brindar soluciones innovadoras.
Te brindamos:
Beneficios de acuerdo a ley.
Ambiente agradable para tu trabajo.
Subvención de comedor.
Desarrollo profesional (Oportunidad de crecimiento en línea vertical y/o horizontal)
Activaciones por días festivos (Según calendario)
¡ÚNETE a nuestro gran equipo!
""En esta empresa está prohibida la discriminación de acuerdo con la ley N° 29973 (Ley general de la persona con Discapacidad) y Ley N° 30709 (Ley de igualdad salarial)"""
DevOps Engineer (AWS) - Work from home	https://pe.linkedin.com/jobs/view/devops-engineer-aws-work-from-home-at-oowlish-3667425700?refId=%2BEbYmN%2Bqmf13CuPN1vqrqw%3D%3D&trackingId=HWq9QDloY03c8g9HhSJe4g%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card	Lima, Peru	1 day ago	Oowlish	"Be part of our team!
🚀💼 Are you ready to launch your career into the tech stratosphere with one of Latam's fastest-growing software development companies? 💪💻 At Oowlish, we're on the hunt for tech maestros to join our dynamic, cosmopolitan squad.
As an 🦉Oowlish🦉 team member, you won’t just be part of a team, you’ll join an innovative, supportive family, partnering with top-tier clients from the USA and Europe 🌍 to kickstart their digital journey. And being part of a 🌟Great Place to Work🌟, it’s all about learning, growing, and making a global impact - together!
Enjoy the flexibility of working in your PJs 🧦, with your furry friend 🐶 on your lap, relishing your freedom and maintaining a perfect work-family life balance ⚖️. Because we know that’s when you’re at your best. If you're a tech enthusiast 🕹️, fluent in English 🗣️, and thrilled about working remotely while making an international splash, then you're on the right page!
We are looking for an experienced DevOps Engineer to join our team and work on international projects. We are looking for people that want to grow, are challenge-driven, follow good practices, and are passionate about technology.
Must Haves
Advanced / fluent English
3 - 5 years of experience with AWS:
Networking (VPC)
Computing (EC2, autoscaling, launch configuration, customized AMI)
Databases (RDS)
S3
EFS
Knowledge of IaC (Terraform and CloudFormation)
Nice To Have
Knowledge on Kubernetes
Benefits & Perks
Home office 🏠
Flexible Hours;🕜
Competitive compensation based on experience; 💵
Career plans to allow for extensive growth in the company;📈
International Projects;🌍
Oowlish English Program (Improving and Certifying)📚
Spanish Classes 📚
Oowlish fitness with Total Pass;🏋‍♀️
Oowlish Academy (Grants for Education);🎓
Build your Home Office (Grants for Computer & Equipment);💻
Connecting You (Internet allowance);📡
Anniversary bonus;💸
Wedding gift;👰‍♀️
Pet adoption incentive;🐕
New baby Owl bonus;👩‍🍼
Back to School bonus;✏️
Netflix Subscription;📽
Oowlish paradise – 4 days/year at a Resort with your family & pets;🏝
Vacation Bonus;🏖
Games and Competitions;🎮
Enjoy your national Holidays;🎊
Oowlet Store🛒
Come join us in breaking the mold and revolutionizing the tech landscape! 🌐 Remember, with Oowlish, you’re not just getting a job, you’re becoming part of a community 🌍 of innovative, talented, and inspiring individuals who respect each other and our furry friends 🐾.
Why wait to make your mark on the tech world?
Hit ‘Apply Now’ to embark on Oowlish's exciting journey, and let's turbocharge innovation together! 🚀🎉
You Can Also Apply Here
Website: https://www.oowlish.com/work-with-us/
LinkedIn: https://www.linkedin.com/company/oowlish/jobs/
Instagram: https://www.instagram.com/oowlishtechnology/
#amazon #job #home #linkedin #career #online #employment #remote #work #international #clients #in #united #states #USA #vacant #hiring #opportunities #hire #application #apply #virtual #wfh #tech #best #english #offer #vacancy #desarrollador #desarrolladora #front #end #programador #programadora #programmer #full #stack #software #engineer #desarrollo #system #developer #code #desenvolvedor #engenheiro #sql #sde #web #backend #empleo #trabajo #ofertas #emprego #vagas #analista #android #api #aplicacion #app #apple #arquitect #automation #aws #azure #blockchain #builder #certified #ciber #cnc #coding #computa #consultor #cyber #data #delphi #desenvolve #dev #devops #diseña #django #etl #flutter #frontend #fullstack #git #hunt #informatica #ingenier #io #iphone #java #Link #microsoft #mobile #movil #node #oracle #php #plc #product #project #proyecto #python #react #ruby #sap #scrum #sdlc #senior #shopify #sistema #soft #sql #tec #tech #lead #testing #top #unity #vscode #web #design #wordpress"
Desarrollador de front-end Senior	https://pe.linkedin.com/jobs/view/desarrollador-de-front-end-senior-at-indra-3688010430?refId=%2BEbYmN%2Bqmf13CuPN1vqrqw%3D%3D&trackingId=U92IZ6qMNuqSyobobubJcA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card	Lima, Peru	2 days ago	Indra	"Trae tu talento a una compañía global de consultoría y tecnología, con presencia en los 5 continentes y más de 40.000 profesionales. Trabajarás en un entorno de soluciones y servicios innovadores para nuestros clientes en los principales sectores de actividad, aportándoles valor añadido. Participarás de la transformación de los negocios trabajando con profesionales de referencia.
Esta es tu oportunidad
Buscamos un profesional con experiencia y visión de futuro para contribuir en la implantación de soluciones y servicios eficientes y eficaces para satisfacer las demandas de nuestros clientes.
Desarrollador Front-end
Requisitos indispensable:
4 años de experiencia en el desarrollo de aplicaciones backend y/o frontend
Javascript a un nivel avanzado
Experto en diversos marcos de desarrollo, como Angular, React, Vue, y puede enseñar a otros.
Desarrolla aplicaciones móviles y es experto en (1) marcos nativos como ReactNative, Flutter o Nativescript
Desarrolla pruebas unitarias de los componentes creados.
Desarrolla pruebas de interfaz con Selenium, CasperJs, PahntomJs,
Desarrolla pruebas e2e utilizando Selenium, Appium, Detox u otro marco
Ofrecemos:
Contrato directo con Indra
Planilla desde el primer día laboral
Beneficios de ley.
Acceso gratuito e ilimitado a la plataforma educativa Udemy
Beneficios corporativos
Cobertura al 100% del seguro EPS
Cursos y certificaciones con Microsoft, AWS, GCP.
Oportunidad de crecer dentro de la empresa.
Lunes a Viernes de 9 am a 6 pm
Modalidad Híbrida
PLUS: En Indra tendrás una carrera profesional adaptada a tus objetivos personales, con formación continua y en un entorno flexible. Participarás en proyectos internacionales, con equipos multiculturales o locales, según tus preferencias, en un entorno diverso y con igualdad de oportunidades. Disfrutarás de numerosos beneficios sociales y un interesante paquete retributivo, al tiempo que creces en un entorno innovador.
El proyecto que buscas está aquí, ¡ven a descubrirlo!"
Senior DevOps (Azure + Datadog + Kubernetes) - Work from home	https://pe.linkedin.com/jobs/view/senior-devops-azure-%2B-datadog-%2B-kubernetes-work-from-home-at-oowlish-3664042104?refId=%2BEbYmN%2Bqmf13CuPN1vqrqw%3D%3D&trackingId=bncxAHgGNQyd6ENTjP92Og%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card	Lima, Peru	3 days ago	Oowlish	"Be part of our team!
🚀💼 Are you ready to launch your career into the tech stratosphere with one of Latam's fastest-growing software development companies? 💪💻 At Oowlish, we're on the hunt for tech maestros to join our dynamic, cosmopolitan squad.
As an 🦉Oowlish🦉 team member, you won’t just be part of a team, you’ll join an innovative, supportive family, partnering with top-tier clients from the USA and Europe 🌍 to kickstart their digital journey. And being part of a 🌟Great Place to Work🌟, it’s all about learning, growing, and making a global impact - together!
Enjoy the flexibility of working in your PJs 🧦, with your furry friend 🐶 on your lap, relishing your freedom and maintaining a perfect work-family life balance ⚖️. Because we know that’s when you’re at your best. If you're a tech enthusiast 🕹️, fluent in English 🗣️, and thrilled about working remotely while making an international splash, then you're on the right page!
We are looking for an experienced
DevOps Engineer
to join our team and work on international projects. We are looking for people that want to grow, are challenge-driven, follow good practices, and are passionate about technology.
Must Have
+5 years of experience with Azure architecture
Kubernetes (AKS) with enterprise scale
Good knowledge of Datadog and enterprise templates for Terraform and other infrastructure automation.
Strong Terraform experience
Knowledge in self-service templates
Good business vision capacity (long-term vision)
Open to work Part-time
Benefits & Perks
Home office 🏠
Flexible Hours;🕜
Competitive compensation based on experience; 💵
Career plans to allow for extensive growth in the company;📈
International Projects;🌍
Oowlish English Program (Improving and Certifying)📚
Spanish Classes 📚
Oowlish fitness with Total Pass;🏋‍♀️
Oowlish Academy (Grants for Education);🎓
Build your Home Office (Grants for Computer & Equipment);💻
Connecting You (Internet allowance);📡
Anniversary bonus;💸
Wedding gift;👰‍♀️
Pet adoption incentive;🐕
New baby Owl bonus;👩‍🍼
Back to School bonus;✏️
Netflix Subscription;📽
Oowlish paradise – 4 days/year at a Resort with your family & pets;🏝
Vacation Bonus;🏖
Games and Competitions;🎮
Enjoy your national Holidays;🎊
Oowlet Store🛒
Come join us in breaking the mold and revolutionizing the tech landscape! 🌐 Remember, with Oowlish, you’re not just getting a job, you’re becoming part of a community 🌍 of innovative, talented, and inspiring individuals who respect each other and our furry friends 🐾.
Why wait to make your mark on the tech world?
Hit ‘Apply Now’ to embark on Oowlish's exciting journey, and let's turbocharge innovation together! 🚀🎉
You Can Also Apply Here
Website: https://www.oowlish.com/work-with-us/
LinkedIn: https://www.linkedin.com/company/oowlish/jobs/
Instagram: https://www.instagram.com/oowlishtechnology/
#amazon #job #home #linkedin #career #online #employment #remote #work #international #clients #in #united #states #USA #vacant #hiring #opportunities #hire #application #apply #virtual #wfh #tech #best #english #offer #vacancy #desarrollador #desarrolladora #front #end #programador #programadora #programmer #full #stack #software #engineer #desarrollo #system #developer #code #desenvolvedor #engenheiro #sql #sde #web #backend #empleo #trabajo #ofertas #emprego #vagas #analista #android #api #aplicacion #app #apple #arquitect #automation #aws #azure #blockchain #builder #certified #ciber #cnc #coding #computa #consultor #cyber #data #delphi #desenvolve #dev #devops #diseña #django #etl #flutter #frontend #fullstack #git #hunt #informatica #ingenier #io #iphone #java #Link #microsoft #mobile #movil #node #oracle #php #plc #product #project #proyecto #python #react #ruby #sap #scrum #sdlc #senior #shopify #sistema #soft #sql #tec #tech #lead #testing #top #unity #vscode #web #design #wordpress"
Programador Web Full Stack - Cercado de Lima (Hibrido)	https://pe.linkedin.com/jobs/view/programador-web-full-stack-cercado-de-lima-hibrido-at-cobra-per%C3%BA-3681419303?refId=%2BEbYmN%2Bqmf13CuPN1vqrqw%3D%3D&trackingId=%2FlZlxiiYPtmXK6VvCkotsg%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card	Lima, Lima, Peru	1 week ago	Cobra Perú	"Análisis y realización de funciones en MySQL
Investigación de nuevas tecnologías para implementación
Construcción y desarrollo de sistemas informáticos
Maquetación (CSS, HTM, JS)
Requisitos
Ingeniero o Bachiller en Informática o de Institutos Superiores en Desarrollo de nuevas aplicaciones o carreras afines
Dominio en PHP, Java (Básico) y Android
Experiencia en Microsoft SQL server 2008 r2 y Microsoft PostgreSQL
Solidos conocimientos en Framework Laravel (avanzado), Codeigniter versión 3, Angular 4.
Curso de html5, css3 y manejo de Adobe XD
Desarrollo de Web y Sistemas
Beneficios
Sueldo acorde al mercado
Trabajo hibrido (2 días presencial y 3 días remoto)
Ingreso a planilla desde el primer día de trabajo con todos los beneficios de ley (CTS, Gratificación, Vacaciones, Seguro Social, Seguro Vida Ley, Asignación Familiar*).
Línea de carrera según desempeño
Participación de utilidades
Beneficios corporativos y convenios con distintas instituciones.
Desde su creación en 1944, Grupo COBRA ha evolucionado hasta convertirse en un referente mundial con capacidad y determinación para desarrollar, crear y operar infraestructuras industriales y de energía que requieran un alto nivel de servicio, sobre la base de la excelencia en integración, innovación tecnológica y solidez financiera. Grupo COBRA emplea a más de 30.000 personas en más de 45 países y ofrece una amplia gama de servicios a través de más de 300 delegaciones aportando valor a todo tipo de clientes, desde particulares a grandes corporaciones. Nuestro espíritu emprendedor y vocación de servicio, hace posible centrar y maximizar el valor de los activos de nuestros clientes y su accionariado, trabajando bajo un conjunto de valores como el medioambiente, la salud y seguridad en el trabajo y la excelencia."
Mid Java AWS Developer	https://pe.linkedin.com/jobs/view/mid-java-aws-developer-at-encora-inc-3684309588?refId=%2BEbYmN%2Bqmf13CuPN1vqrqw%3D%3D&trackingId=I8dNFKOGO6N%2B%2BzoqE8cpQQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card	Lima, Lima, Peru	1 week ago	Encora Inc.	"En Encora estamos en búsqueda de un gran talento como tu para que se una a nuestro equipo como el próximo
Mid
J
ava Develope
r (10159)
¿Te animas a unirte a nuestro gran equipo de ingenieros? Te invitamos a leer más de nosotros y conocer nuestra posición en búsqueda
Sobre el rol
:
Como un
Mid Java Developer
, formarás parte de un equipo tecnológico y ágil altamente calificado por respaldar y desarrollar soluciones de vanguardia para cumplir con los requisitos de nuestro negocio. Nos ayudará a acelerar los resultados empresariales de nuestros clientes mediante la innovación de productos digitales de vanguardia.
Algunos de tus deberes esenciales y responsabilidades laborales del día a día serán:
Optimizar las aplicaciones para que rindan mejor y de forma más rápida.
Garantizar la seguridad de todo el entorno.
Solucionar posibles errores que se vayan detectando.
Gestionar e integrar las bases de datos necesarias.
Entre otros
Requisitos para la vacante
:
Experiencia mínima de 3 años
Experiencia con tecnología de desarrollo web back-end como API, bases de datos, mensajería asincrónica y computación en la nube (AWS)
Experiencia con Java 11 o superior
Experiencia con Lambdas, Streams, Completable Future, Optional, generics
Experiencia en el desarrollo de API REST utilizando Spring Boot 2.X (reactivo) y habilidad en la especificación de API abierta (swagger).
Experiencia en el uso de servicios de AWS Aurora MySQL y AWS DynamoDB, AWS EKS, AWS MSK y AWS Batch
Experiencia con RxJava, Reactor, Spring Data, Retrofit
Experiencia escribiendo casos de prueba con framework JUnit, Mockito y Spock
Conocimientos de herramientas de pruebas open source como Cypress, Selenium, Serenity, Cucumber, Karate DSL, Cypress, JMeter y Postman
Conocimientos avanzados de BDD y Gherkins.
Experiencia con Bootstrap y Material UI
Experiencia con Angular 10+
Pruebas unitarias e integración (Mocha, Jest, etc)
Experiencia en el ciclo de vida de desarrollo ágil
Experiencia en el sector Banca/Finanzas
Experiencia en procesos como compensación, liquidación e integraciones
Por qué te encantará trabajar con nosotros:
Trabajo Remoto: Trabajaras desde casa y tendrás la opción de ir a oficina cuando gustes.
Seguro médico cubierto al 100%
Bonos por referidos
Día libre de cumpleaños
Horarios y modelos de trabajo flexibles para un mayor equilibrio entre la vida laboral y personal
Formación técnica continua y capacitaciones constantes
Trabajar en una Great Place To Work caracterizada por un clima horizontal y dinámico
Programa de reconocimientos corporativo
Línea de carrera que te permitirá crecer con nosotros
Entre otros
Sobre Encora
:
Encora es una empresa global que ofrece soluciones de Software e Ingeniería Digital, contando con más de 9000 encorians alrededor del mundo. Nuestras practicas tecnológicas incluyen Servicios de Nube, Ingeniería de productos, Ciencia e ingeniería de datos, Experiencia digital, DevOps, Ciberseguridad, Ingeniería de calidad, entre otros.
En Encora Inc. contratamos profesionales basados únicamente en sus habilidades y no discriminamos por edad, discapacidad, religión, género, orientación sexual, condición socioeconómica o nacionalidad."
Programador de sistemas (Backend)	https://pe.linkedin.com/jobs/view/programador-de-sistemas-backend-at-bdo-outsourcing-3663290180?refId=%2BEbYmN%2Bqmf13CuPN1vqrqw%3D%3D&trackingId=g873Hnu1AvSN7FE66JtBcw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card	San Isidro, Lima, Peru	4 weeks ago	BDO OUTSOURCING	"Únete a la #FamiliaBDO
En BDO creemos firmemente en la igualdad de oportunidades para todos y reconocemos que cada profesional tiene talentos y capacidades diferentes que pueden sumar a nuestro equipo, si estás buscando crecer profesionalmente te invitamos a formar parte de esta gran familia.
Estamos en la búsqueda de un PROGRAMADOR DE SISTEMAS (BACKEND)
Requisitos
Egresado(a) técnico o Universitario de la carrera de Ingeniería de Sistemas, Informática o afines
Experiencia mínima de 6 meses realizando funciones similares al puesto o en proyectos de desarrollo Web.
Nivel básico a intermedio de programación web en C#.
Conocimiento básico a intermedio de bases de datos MYSQL y POSTGRESQL.
Conocimiento básico de programación de Web Services API REST.
Conocimiento de metodologías de desarrollo (deseable).
Conocimiento de GIT o herramientas de versionamiento de código (deseable).
Funciones
Escribir código fuente seguro para implementar nuevos módulos o funcionalidades, alineado a los procedimientos de desarrollo vigentes y a las pautas indicadas.
Revisar y/o corregir los errores funcionales de los sistemas en ejecución reportados por el Equipo de Soporte o usuarios finales.
Ejecutar pruebas de software siguiendo los lineamientos establecidos.
Reportar los avances y cumplimientos de las tareas asignadas
Subir diariamente el avance de su codificación al repositorio de Git.
Cumplir los procedimientos de desarrollo de software seguro establecidos.
Mantener actualizado el tablero de Azure Devops respecto al avance de las tareas asignadas.
Completar los documentos de control de cambios de software establecidos.
Apoyar en la elaboración de manuales de usuario final sobre la funcionalidad de un sistema o módulo desarrollado.
Otras funciones inherentes al cargo
Competencias
Proactividad
Gestión del tiempo
Capacidad de síntesis
Habilidad para adaptarse a cambios
En BDO Encontrarás
Excelente ambiente laboral
Flexibilidad que te permitirá mantener un balance entre tu vida personal y profesional
Podrás trabajar de forma híbrida
Tendrás una línea de carrera que te ayudará a alcanzar tus objetivos
Planilla desde el 1er día de trabajo y contrato a plazo Indeterminado que te brindará una mayor estabilidad laboral
Descuentos corporativos por pertenecer a la Firma
Somos Una Firma Global Con Propósito
“Personas ayudando a personas a alcanzar sus sueños”"
